H1,H2,H3,H4,H5,ItemCode,WeekStartDate,ActualPrice,FirstPrice,Sales,SalesRevenue,SalesRevenueonPrice,ExpectedSalesRevenue,DiscountRate,DiscountRateOnPrice,StoreStock,StoreIncomingStock,DistinctStoreCount,PrevDiscountRate
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100416554,2022-11-17,559.9900,629.99,1,519.0000,559.9900,629.99,0.104541,0.1053872835800706292,21,0,16,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000100435052,2023-02-02,239.9900,299.99,1,222.0000,239.9900,299.99,0.195626,0.2000066668888962966,44,0,9,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000100435053,2023-02-02,239.9900,299.99,1,222.0000,239.9900,299.99,0.195626,0.2000066668888962966,29,0,13,0.0000000000000000000
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000100435580,2022-12-15,379.9900,499.99,5,1760.0000,1899.9500,2499.95,0.234768,0.2351094847983916201,105,6,33,0.0000000000000000000
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000100435580,2023-01-19,279.9900,499.99,2,365.0000,559.9800,999.98,0.603253,0.4364017715136911434,90,3,34,0.2351094847983916201
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000100435580,2023-02-23,199.9900,499.99,7,1295.0000,1399.9300,3499.93,0.597819,0.6000120002400048001,55,0,19,0.4364017715136911434
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000100436853,2023-02-23,199.9900,499.99,1,185.0000,199.9900,499.99,0.597819,0.6000120002400048001,13,0,9,0.0000000000000000000
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000100437262,2023-01-05,399.9900,559.99,2,740.0000,799.9800,1119.98,0.281820,0.2857193878462115395,15,0,10,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000100537539,2023-01-05,399.9900,499.99,4,1341.0000,1599.9600,1999.96,0.271182,0.1948510709344621676,90,2,30,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000100537539,2023-02-02,349.9900,499.99,4,1296.0000,1399.9600,1999.96,0.295639,0.3000060001200024001,72,0,28,0.1948510709344621676
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000100537540,2023-01-05,399.9900,499.99,1,287.0000,399.9900,499.99,0.376075,0.1948510709344621676,7,1,7,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000100537540,2023-02-02,349.9900,499.99,2,648.0000,699.9800,999.98,0.295639,0.3000060001200024001,6,1,6,0.1948510709344621676
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,BASKETBOL,000000000100537588,2022-12-15,409.9900,489.99,12,3992.0000,4919.8800,5879.88,0.262038,0.1632686381354721525,140,0,78,0.0000000000000000000
