H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevWeekStock,PrevSales
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101335619,2023-11-23,15,164,370.3611,629.6204,0.4957,0.41177080666382474266,0.19117932011097480324,182,7
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101335832,2023-10-26,63,794,648.1389,879.6204,0.3189,0.26316067703750390510,0.00000000000000000000,951,31
AYAKKABI,AKTIFSPOR,LEISURE,BOT,SNEAKER HI,000000000101336088,2023-10-26,10,115,648.1389,787.0278,0.1915,0.17647267351928356280,0.00000000000000000000,128,6
AYAKKABI,ERKEK,COMFORT,TERLIK,EV ICI TERLIK,000000000101336317,2023-11-23,6,36,231.4722,277.7685,0.5909,0.16667224685304489170,0.00000000000000000000,73,14
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101336518,2023-11-09,41,643,398.1389,490.7315,0.2121,0.18868281331033365497,0.00000000000000000000,671,30
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MAKOSEN,000000000101336556,2023-10-26,24,240,277.7685,370.3611,0.3481,0.25000627765712975796,0.00000000000000000000,234,21
AYAKKABI,COCUK,NULL,BOT,OUTDOOR HI,000000000101336569,2023-11-23,32,1827,305.5463,398.1389,0.2619,0.23256356010427516628,0.00000000000000000000,1875,49
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101336588,2023-10-26,57,1294,305.5463,398.1389,0.2640,0.23256356010427516628,0.00000000000000000000,1304,40
AYAKKABI,KADIN,CASUAL,AYAKKABI,BASIC SNEAKER,000000000101338066,2023-09-21,39,1376,398.1389,462.9537,0.2166,0.14000276917540566152,0.00000000000000000000,1466,39
AYAKKABI,KADIN,CASUAL,AYAKKABI,BASIC SNEAKER,000000000101338066,2023-10-26,56,647,324.0648,462.9537,0.3646,0.30000602652057862374,0.14000276917540566152,742,41
AYAKKABI,KADIN,CASUAL,AYAKKABI,BASIC SNEAKER,000000000101338066,2023-11-23,12,583,259.2500,462.9537,0.7501,0.44000879569598428526,0.30000602652057862374,625,34
AYAKKABI,KADIN,CASUAL,AYAKKABI,SLIP ON,000000000101338072,2023-10-12,25,387,462.9537,555.5463,0.2474,0.16666945671314884106,0.00000000000000000000,463,14
AYAKKABI,KADIN,CASUAL,AYAKKABI,SLIP ON,000000000101338072,2023-10-26,17,273,398.1389,555.5463,0.4034,0.28333804041175325981,0.16666945671314884106,333,30
AYAKKABI,KADIN,CASUAL,AYAKKABI,SLIP ON,000000000101338072,2023-11-09,32,258,324.0648,555.5463,0.6062,0.41667364178287210265,0.28333804041175325981,276,20
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000101203252,2023-10-26,15,1632,740.7315,898.1389,0.2407,0.17525952834244235497,0.00000000000000000000,1630,17
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000101203252,2023-11-09,57,1544,601.8426,898.1389,0.4057,0.32990030829307137237,0.17525952834244235497,1565,24
AYAKKABI,KADIN,COMFORT,BOT,GELENEKSEL COMFORT DUZ BOT,000000000101203657,2023-11-23,7,177,490.7315,611.1019,0.3536,0.19697271437054933065,0.00000000000000000000,189,10
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101203972,2023-11-09,49,1577,1620.2778,1944.3519,0.1924,0.16667461275914097649,0.00000000000000000000,1616,33
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000101204957,2023-10-26,2,32,925.0000,1202.7778,0.7019,0.23094689642592339167,0.00000000000000000000,33,1
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000101204957,2023-11-23,0,21,739.8148,1202.7778,0.0000,0.38491149404320565279,0.23094689642592339167,21,0
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000101205718,2023-11-02,8,58,231.4722,287.0278,0.5642,0.19355477065287752615,0.00000000000000000000,63,5
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000101206004,2023-10-12,5,144,231.4722,277.7685,0.2546,0.16667224685304489170,0.00000000000000000000,89,2
